Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.20,-.26,-.09,-.17,-.10,-.22,-.20,-.11,-.16,-.23,-.23,-.19,-.18,***,***,-.12,-.18,-.21
1881,-.20,-.16,.02,.04,.06,-.19,.01,-.04,-.16,-.22,-.19,-.08,-.09,-.10,-.18,.04,-.08,-.19
1882,.16,.13,.04,-.16,-.14,-.23,-.16,-.08,-.15,-.24,-.17,-.36,-.11,-.09,.07,-.09,-.16,-.19
1883,-.29,-.37,-.12,-.18,-.18,-.07,-.07,-.14,-.22,-.12,-.24,-.11,-.18,-.20,-.34,-.16,-.10,-.19
1884,-.13,-.08,-.36,-.40,-.34,-.35,-.31,-.28,-.27,-.25,-.34,-.31,-.28,-.27,-.11,-.37,-.31,-.28
1885,-.58,-.34,-.27,-.42,-.45,-.43,-.33,-.31,-.28,-.23,-.24,-.10,-.33,-.35,-.41,-.38,-.36,-.25
1886,-.44,-.51,-.43,-.28,-.24,-.34,-.17,-.31,-.24,-.27,-.28,-.26,-.31,-.30,-.35,-.32,-.27,-.26
1887,-.72,-.57,-.36,-.35,-.30,-.25,-.26,-.35,-.26,-.35,-.26,-.33,-.36,-.36,-.51,-.34,-.29,-.29
1888,-.34,-.36,-.41,-.20,-.21,-.17,-.10,-.15,-.11,.02,.03,-.04,-.17,-.19,-.34,-.28,-.14,-.02
1889,-.09,.17,.06,.10,-.01,-.10,-.07,-.20,-.24,-.25,-.33,-.29,-.10,-.08,.01,.05,-.12,-.27
1890,-.42,-.45,-.40,-.30,-.39,-.24,-.28,-.39,-.36,-.25,-.43,-.31,-.35,-.35,-.38,-.36,-.30,-.35
1891,-.33,-.46,-.18,-.27,-.16,-.21,-.17,-.17,-.15,-.21,-.31,-.03,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.28,-.12,-.39,-.33,-.23,-.22,-.31,-.27,-.17,-.13,-.42,-.38,-.27,-.24,-.14,-.32,-.26,-.24
1893,-.81,-.56,-.22,-.27,-.33,-.25,-.14,-.25,-.22,-.18,-.19,-.31,-.31,-.32,-.58,-.28,-.21,-.20
1894,-.52,-.29,-.23,-.44,-.30,-.40,-.23,-.24,-.27,-.23,-.26,-.20,-.30,-.31,-.37,-.32,-.29,-.25
1895,-.41,-.43,-.33,-.21,-.27,-.21,-.16,-.17,-.12,-.11,-.17,-.14,-.23,-.23,-.35,-.27,-.18,-.13
1896,-.22,-.12,-.26,-.31,-.16,-.11,-.02,-.05,-.07,.06,-.05,-.05,-.11,-.12,-.16,-.24,-.06,-.02
1897,-.15,-.17,-.14,-.02,-.02,-.11,-.02,-.09,-.08,-.12,-.18,-.21,-.11,-.10,-.12,-.06,-.08,-.13
1898,-.03,-.31,-.52,-.31,-.30,-.19,-.22,-.27,-.21,-.34,-.39,-.23,-.28,-.27,-.18,-.38,-.23,-.31
1899,-.17,-.38,-.36,-.20,-.23,-.31,-.15,-.08,-.05,-.04,.13,-.26,-.18,-.17,-.26,-.26,-.18,.01
1900,-.36,-.05,.01,-.09,-.08,-.09,-.12,-.08,-.05,.09,-.07,-.07,-.08,-.10,-.22,-.05,-.10,-.01
1901,-.22,-.11,.06,-.02,-.15,-.11,-.14,-.20,-.22,-.29,-.16,-.27,-.15,-.14,-.13,-.04,-.15,-.23
1902,-.16,-.09,-.27,-.28,-.32,-.31,-.27,-.30,-.29,-.30,-.36,-.42,-.28,-.27,-.17,-.29,-.29,-.32
1903,-.24,-.06,-.24,-.41,-.40,-.43,-.35,-.45,-.50,-.47,-.42,-.51,-.37,-.37,-.24,-.35,-.41,-.46
1904,-.63,-.59,-.51,-.51,-.52,-.48,-.51,-.49,-.56,-.39,-.18,-.33,-.47,-.49,-.58,-.51,-.49,-.37
1905,-.35,-.59,-.22,-.34,-.29,-.28,-.26,-.20,-.19,-.25,-.07,-.13,-.27,-.28,-.42,-.28,-.25,-.17
1906,-.28,-.30,-.19,-.05,-.26,-.19,-.23,-.20,-.28,-.20,-.38,-.15,-.23,-.22,-.24,-.17,-.21,-.29
1907,-.43,-.51,-.27,-.37,-.46,-.42,-.35,-.34,-.34,-.23,-.47,-.47,-.39,-.36,-.37,-.37,-.37,-.35
1908,-.44,-.32,-.55,-.44,-.37,-.38,-.35,-.46,-.36,-.44,-.52,-.49,-.43,-.42,-.41,-.45,-.39,-.44
1909,-.73,-.46,-.54,-.59,-.54,-.52,-.45,-.34,-.39,-.40,-.32,-.56,-.49,-.48,-.56,-.56,-.43,-.37
1910,-.42,-.41,-.51,-.42,-.34,-.38,-.34,-.36,-.39,-.41,-.57,-.67,-.44,-.43,-.47,-.42,-.36,-.46
1911,-.62,-.58,-.61,-.54,-.52,-.50,-.42,-.44,-.41,-.27,-.21,-.21,-.44,-.48,-.63,-.56,-.45,-.30
1912,-.25,-.14,-.38,-.17,-.21,-.24,-.42,-.54,-.57,-.57,-.39,-.43,-.36,-.34,-.20,-.25,-.40,-.51
1913,-.40,-.45,-.42,-.39,-.44,-.45,-.36,-.34,-.34,-.32,-.20,-.03,-.34,-.38,-.43,-.42,-.38,-.29
1914,.04,-.10,-.24,-.30,-.21,-.25,-.23,-.16,-.17,-.03,-.16,-.04,-.15,-.15,-.03,-.25,-.21,-.12
1915,-.21,-.04,-.10,.06,-.06,-.22,-.13,-.22,-.20,-.24,-.13,-.21,-.14,-.13,-.10,-.03,-.19,-.19
1916,-.13,-.15,-.29,-.30,-.35,-.49,-.37,-.28,-.36,-.34,-.46,-.81,-.36,-.31,-.16,-.31,-.38,-.39
1917,-.57,-.63,-.63,-.55,-.55,-.43,-.25,-.22,-.23,-.44,-.34,-.68,-.46,-.47,-.67,-.57,-.30,-.34
1918,-.48,-.34,-.25,-.44,-.43,-.36,-.32,-.32,-.17,-.06,-.12,-.30,-.30,-.33,-.50,-.37,-.33,-.12
1919,-.21,-.23,-.22,-.13,-.28,-.36,-.29,-.33,-.25,-.20,-.42,-.42,-.28,-.27,-.25,-.21,-.33,-.29
1920,-.25,-.27,-.12,-.24,-.27,-.35,-.30,-.26,-.22,-.26,-.27,-.47,-.27,-.27,-.31,-.21,-.30,-.25
1921,-.05,-.18,-.23,-.30,-.30,-.27,-.15,-.26,-.19,-.03,-.15,-.18,-.19,-.21,-.23,-.28,-.23,-.12
1922,-.34,-.45,-.15,-.23,-.33,-.30,-.27,-.32,-.35,-.32,-.14,-.20,-.28,-.28,-.32,-.23,-.30,-.27
1923,-.27,-.39,-.34,-.41,-.33,-.29,-.31,-.33,-.31,-.13,-.03,-.03,-.26,-.28,-.29,-.36,-.31,-.16
1924,-.22,-.23,-.08,-.30,-.18,-.26,-.28,-.35,-.32,-.35,-.20,-.43,-.27,-.24,-.16,-.19,-.30,-.29
1925,-.37,-.39,-.27,-.25,-.29,-.33,-.27,-.20,-.20,-.17,.06,.06,-.22,-.26,-.40,-.27,-.26,-.10
1926,.21,.03,.12,-.13,-.23,-.26,-.27,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.10,-.08,-.22,-.10
1927,-.27,-.17,-.38,-.30,-.25,-.27,-.18,-.24,-.12,-.01,-.06,-.33,-.22,-.21,-.24,-.31,-.23,-.06
1928,-.02,-.09,-.25,-.28,-.30,-.39,-.19,-.22,-.21,-.19,-.09,-.16,-.20,-.21,-.15,-.28,-.27,-.17
1929,-.45,-.58,-.32,-.41,-.38,-.43,-.36,-.32,-.25,-.14,-.11,-.54,-.36,-.32,-.39,-.37,-.37,-.17
1930,-.30,-.26,-.10,-.24,-.23,-.21,-.21,-.15,-.15,-.11,.18,-.05,-.15,-.19,-.37,-.19,-.19,-.03
1931,-.10,-.20,-.10,-.22,-.19,-.07,-.03,-.03,-.06,.06,-.05,-.04,-.09,-.09,-.12,-.17,-.04,-.02
1932,.16,-.16,-.17,-.05,-.17,-.28,-.24,-.21,-.10,-.08,-.27,-.26,-.15,-.13,-.02,-.13,-.24,-.15
1933,-.23,-.29,-.29,-.24,-.28,-.33,-.20,-.23,-.28,-.24,-.30,-.44,-.28,-.26,-.26,-.27,-.25,-.27
1934,-.20,-.02,-.28,-.30,-.09,-.14,-.10,-.11,-.15,-.06,.04,-.02,-.12,-.15,-.22,-.22,-.12,-.06
1935,-.34,.15,-.14,-.37,-.28,-.26,-.21,-.21,-.21,-.05,-.25,-.16,-.19,-.18,-.07,-.26,-.23,-.17
1936,-.27,-.37,-.20,-.19,-.16,-.21,-.09,-.13,-.09,-.02,.02,-.01,-.14,-.16,-.27,-.18,-.14,-.03
1937,-.07,.03,-.20,-.15,-.05,-.05,-.03,.02,.09,.09,.08,-.07,-.03,-.02,-.01,-.14,-.02,.09
1938,.09,.04,.10,.07,-.09,-.17,-.09,-.05,.01,.15,.08,-.12,.00,.01,.02,.03,-.10,.08
1939,-.05,-.06,-.17,-.10,-.04,-.07,-.05,-.06,-.07,-.04,.07,.43,-.02,-.06,-.08,-.10,-.06,-.01
1940,.00,.08,.09,.17,.11,.12,.13,.07,.15,.11,.16,.31,.13,.13,.17,.13,.10,.14
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.23,.22,.19,.19,.27,.14,.17,.20
1942,.29,.02,.06,.10,.11,.05,.01,-.04,-.03,.02,.10,.12,.07,.08,.18,.09,.01,.03
1943,-.01,.18,-.03,.11,.07,-.05,.09,.01,.05,.23,.20,.24,.09,.08,.10,.05,.02,.16
1944,.36,.24,.26,.20,.19,.16,.18,.19,.28,.26,.11,.04,.21,.22,.28,.22,.17,.22
1945,.10,.01,.06,.19,.06,.00,.04,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.02,.01,.06,-.07,-.21,-.12,-.20,-.08,-.08,-.06,-.31,-.07,-.05,.03,.00,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.04,-.07,-.12,.07,.02,-.13,-.03,-.04,-.15,.04,-.04,-.01
1948,.06,-.15,-.24,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.12,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.06,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.14,-.06,-.10,-.18,-.11,-.12,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.08,-.16,-.11,-.20,-.34,-.22,-.17,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,.00,-.06,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.12,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.03,.02,-.02
1953,.07,.15,.11,.19,.11,.12,.01,.05,.04,.08,-.03,.05,.08,.08,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.13,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.07,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.15,-.09,-.25,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.15,.02,.15,.09,.01,.08,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.08,.01,.06,-.09,.05,-.05,-.03,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.13,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.03,-.04,.04,-.19,-.02,.01
1961,.07,.19,.09,.13,.12,.12,.01,.01,.08,.00,.03,-.16,.06,.09,.15,.12,.04,.04
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.17,.14,.15,-.03,.05,.05,.04,-.09,.11,.16
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.29,-.31,-.21,-.29,-.20,-.18,-.07,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.13,-.18,-.14,-.09,-.09
1966,-.19,-.04,.03,-.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.03,-.06,-.06,-.10,-.07,.00,-.07
1967,-.08,-.21,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.01,-.01
1968,-.26,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.15,-.08,-.08,-.15,.00,-.10,-.05
1969,-.11,-.18,.00,.17,.18,.03,-.05,.04,.08,.09,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.02,.02,-.10,.12,.03,.02,-.12,.03,.06,.18,.03,-.04,.06
1971,-.02,-.15,-.18,-.07,-.05,-.16,-.08,-.01,-.05,-.04,-.07,-.08,-.08,-.08,-.10,-.10,-.08,-.06
1972,-.23,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.23,.19,.13,.05,.09,.10,.04,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.12,-.04,-.05,-.03,.10,-.08,-.06,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.02,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
